file_name,url,inference_transcript,audio_duration
STT_GR_0001_0011_106500_to_110900,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0011_106500_to_110900.wav,རྒྱལ་བ་ཐམས་ཅད་སྦྱིན་པ་ྱན་ལ་དེ་ནས་ ཨ་ཕར་ཆེར།  ,4.4
STT_GR_0001_0012_111300_to_114300,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0012_111300_to_114300.wav,དེ་ནས་སེམས་ལ་གནས་རྒྱུ་དེ་ཡིན་པ་རེད། ཨོ་རེད།  ,3.0
STT_GR_0001_0013_115200_to_121900,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0013_115200_to_121900.wav,དེ་ག་རེ་གི་གནས་དགོས་ཚེམ་ལ་གནས་དཔ་དེ་ལ་རླ་དེ། ཨོ་རྟག་པར་དྲིན་དགོས་པ་དེ་རྒྱོ་ཅི་རེད་དེ།  ,6.7
STT_GR_0001_0014_122400_to_148600,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0014_122400_to_148600.wav,དེ་དྲིན་དགོས་པ་རྒྱུ་ག་རེ་རེད་དེ་ལ། ཨོ་ཁོ་གིས་སེམས་སྐྱན་དམ་ཅས་ལ་མག་དང་བབ་བའི་འདུ་ཤེས་ཡོད་རེད་ཟེ། སེམས་ྐཅན་ཐམས་ཅད་ཀི་ཨ་མ་ནང་བཞིན་བརྩེ་བ་ཆེན་པོ་ཡོད་རེད་ཟེ། དེ་ནས་བརྩེ་བ་ཆེན་པོ་ཡོང་ན། དེ་ནས་པུ་གུ་ཡང་མ་ལ་གྡུང་མ་ཡོད་རེད། དཔེ་དེ་ལྟ་བུ་དེ་ནས་བརྩེ་བ་གི་ཡོན་ཏན་རེད་ཟེ། རླ་མ་བཞི་པ་དེ་དེ་རིད། ཨ། དེ་ནས་བླ་མ་གང་ནས་བྱུང་རེད། བླ་མ་དེ་གང་ནས་བྱོང་དུ་ལ། བླ་མ་དེ་ྱང་རྐྱེལ་ལས་བྱོང་ཡོད་རེད་ཟེ།  ,26.2
STT_GR_0001_0015_150600_to_154000,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0015_150600_to_154000.wav,སངས་རྒྱས་གངས་ནས་སབྱོང་ཡོད། སངས་རྒྱས་སེབ་གྱིག་ནས་བྱོང་ཡོ་རེདདེ།  ,3.4
STT_GR_0001_0016_155300_to_174900,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0016_155300_to_174900.wav,སྒང་གི་ཚེབ་སཀྱིད་ནང་ནས་ག་འདྲའི་ཅིག་བྱུང་ཡོད་རེད་དེ་འདྲ། ད་ངས་རྒྱ་ཆའ་ལག་ལེན་སོ་བདུན་ལྔ་མིན་ཅི་གང་ཤེས་ཀི་ཡོད་མ་རེད། དེ་ན་ནས་རྫོགས་པོ་ཟ་རྒྱས་གཅིག་ཕིན་ཟིམ་ནས་གྲོངས་རེད། ཚེབ་སཀྱིད་གི་ནང་ནས་སམ་སྷུང་གྱི་ཆེན་པོ་དེ་རྒྱུད་ལ་འཁྲུག་ནས། དེ་གིས་རང་གི་བདག་འཛིན་གི་དེ་ནས་ཐེ་ལྔ་པི་གྲོངས་ནས་གཉིས་སུ་ལད་པད་ྱི་པ་ལ་གྲོངས་ནས་ དེ་ནས། ཨ།  ,19.6
STT_GR_0001_0017_176000_to_182100,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0017_176000_to_182100.wav,གཉིས་ཙུ་བདུན་པ་ཕྱི་དཔག་ཐམས་ཅད་ཚང་ནས། དེ་ནས་གཉེས་སུ་འབེད་པའི་ཡེ་བཞི་དེ་བརྒྱད་ལས་དེ་ལ། སངས་རྒྱས་དེ།  ,6.1
STT_GR_0001_0018_182500_to_190000,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0018_182500_to_190000.wav,དེ་ནས་སངས་རྒྱས་སེམས་བསྐྱིད་ནས་བཟུང་ཡོད་རེད་དེ། དཔེར་ན་མེ་ཏོག་ལས་ས་འོང་སོང་། ས་བོང་ལས་མེ་ཏོག་སོང་། དེི་ལྟ་བ་ཡི་ཤེ་ནང་།  ,7.5
STT_GR_0001_0019_192100_to_196200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0019_192100_to_196200.wav,དེ་ནས་ཚང་རྒྱལ་པོད་རྒྱོ་དེ་གང་རེད་དེན་ན། དཔེར་ན། ད་ྟ།  ,4.1
STT_GR_0001_0020_196900_to_204500,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0020_196900_to_204500.wav,བད་གུང་ངིས་བཞེས་པ་ནང་བཞིན། ཟའ་ཕྱོགས་ཀི་སི་པར་བོ་ཆེ་དེ་ལ་བརྟིན་ནས། སང་རྒྱུ་དེ་ག་རེ་བཟང་། རྒྱད་རྒྱུ་དེ་ག་རེ་རྒྱལ།  ,7.6
STT_GR_0001_0021_205200_to_213000,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0021_205200_to_213000.wav,ཨོ། བཟང་སྒྱུ་དེ་བདག་ཏུ་འཛིན་པ་ད་། གཉིས་སུ་འཛིན་པི། བཟང་ཕྱོགས་ཚེ་བསླབ་པ་གཉིས་ལ་བརྟིན་ནས་དེ་དས་སངས་རྒྱས་ྱ་ཡོད་པ་རེད་ཟེ།  ,7.8
STT_GR_0001_0022_214200_to_238200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0022_214200_to_238200.wav,དང་པོ། སྐུ་ཚབ་དང་ཕྱོགས་ཆེན་རིན་པོ་བྱས། རྒྱུད་ལ་གྲུམ་ལིས་རང་རེད། བདག་གྱི་འཐིན་ག་བློ་ཐམས་ཅད་ཚང་ནས་གཞིན་ཕིལ་གི་བློ་རྒྱ་ཆེན་པོ། ཚད་མེད་པ་རྒྱལ་གི་བློ་དེ། ཡུལ་ལ་སྐྱེད་ལས། དེ་ནས་ཚད་མེད་པ་རྒྱལ་གི་བློ་ལ་རྟ་ཡི་ལན། ཨུ། དེ་ནས་གཉིས་སུ་འཛིན་པ་ཤེས་པ་ཐམས་ཅད་ཚང་ནས། དེ་ནས་གཉིས་སུ་མེད་པའི་ཞི། དེ་ནས་འཁོར་འྡའ་དབྱེར་མི་གིས་དཔེར་ན།  ,24.0
STT_GR_0001_0023_238500_to_240400,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0023_238500_to_240400.wav,ངོ་འཕང་དན་ན་ཁྲོང་ར་དེ་ནས།  ,1.9
STT_GR_0001_0024_240800_to_249200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0024_240800_to_249200.wav,དཔེ་ན་ཚང་དེ་ལ་གཉིས་ས་དང་རྦད་དེ་ཐམས་ཅད། རང་གི་སེབ་དེ་གཅིག་དེ་བོ་ན་དེ་ཚོ་པག་ཐམས་ཅད་སང་སོང་ན། རྒྱད་དེ་ར་ཚེན་འདེར་ྐྱང་གྱིག་པོ་ར་ཤི་དེ་དེ་ལི།  ,8.4
STT_GR_0001_0025_249500_to_254000,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0025_249500_to_254000.wav,ནག་ཆལ་གར་ཁྱབ་ར་ཁྱབ་སད་པད་དེ་འདྲའ་ཅིག་མ་ར་རེད། ཆུ་ག་ནམ་མཁག་ལྟ་བུས་གསུམ།  ,4.5
STT_GR_0002_0001_6600_to_12700,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0001_6600_to_12700.wav,ཨེ་ནས་སངས་རྒྱས་ཀི་ཞོན་འདན་ག་རེ་ཡོད་རེད་ད་ལ། དེ་ནས་སངས་རྒྱས་ལ་སངས་རྒྱས་ལ་སྐུ་གསུམ་གི་བདག་ནས་བྱས།  ,6.1
STT_GR_0002_0002_14600_to_18400,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0002_14600_to_18400.wav,ཨེ། དེ་རིང་ཚངས་རྒྱས་ཀི་ཡོངས་སྟན་རེ། སངས་རྒྱས་སྐོ་སུམ་འགོས་ཡོན་དེ་ཡོད་རེད་ཟེ།  ,3.8
STT_GR_0002_0003_19000_to_29500,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0003_19000_to_29500.wav,དེ་རྲས་དེ་ལ་བསྟེན་ནི་ད་དག་ སངས་རྒྱས་སཀུན་གསུམ་གི་ཡོང་སྟུན་དེ་དང་། ང་ཚོས་ག་དུ་ཤེད་ཐུབ་ཀྱི་རེད། ག་དུས་འགོ་ཐུབ་ཀྱི་རེད་དེ་ཡིན་ན། མགོ་ཁག་པོ་ཏ་ེམ་ཟབ་པོ་རེད་དེ།  ,10.5
STT_GR_0002_0004_29900_to_47700,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0004_29900_to_47700.wav,ཡིན་ན་ཡང་། སངས་རྒྱས་མ་ཐོབ་ཀྱི་བར་དུ་དེ་ཧ་གོ་ཡ་ཡོད་མ་རེད་ེ། དེ་འདྲས་ཅིག་ཡོད་མ་རེད་དེ། ད་རྩ་བའི་བླ་མ་རྣ་པ་དཔེ་དེ་ནས་ཨེ་ས་སྐྱ་ཆེན་པོའི་ངོ་སྒྲུག་གནང་བའི་སྐབས་ནས། སངས་རྒྱས་ཀི་ཡོང་དུས་ད་ལྟ་རང་མཐོང་གི་ཡོད་རེད་ཟེ། གང་རིད་དེ་ན་ས་སྐྱ་ཆེན་པོའི་གནས་ལུགས་མངོན་སུམ་སདོད་ས་གང་མཐོང་ན།  ,17.8
STT_GR_0002_0005_48000_to_52500,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0005_48000_to_52500.wav,དེ་ནས་དེ་ལ་ངོ་བོ་སྟོང་པ་ནམ་མཁའ་ལྟ་བུ་འཛིན་པ་མེད་པ།  ,4.5
STT_GR_0002_0006_52800_to_68800,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0006_52800_to_68800.wav,དེ་སངས་རྒྱས་ཆོས་ཀྱི་བཀོད་ཚང་མ་རེད་ེ། དེའི་ངང་དརབ་རྒྱུད་གསར་བའི་ཡེ་ཤེས་ྱས་ན། ཨོ་སྟོང་པ་སྟོང་རྐྱང་མ་ཡིན་པ། ཤིབ་ཁུལ་གི་ཤི་པ་གསར་ལ་མི་ཡོད་རེད་དེ། དེ་ལ་བརྟེན་ནས་དེ་སངས་རྒྱས་ཀི་ལོང་བགོད་ཀི་ཨོ་ལེ། ཡང་དེ་དེ་ལས་སྦྗོང་གི་ཡོད་རེད་ཟེ།  ,16.0
STT_GR_0002_0007_69100_to_74300,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0007_69100_to_74300.wav,དེ་སར་སྟོང་ཟོང་དུ་འཇུག་པའི་སེམས་དེ། ཨ། མཐའ་དང་དངུལ་མེད་པ་དེ་འདྲའ།  ,5.2
STT_GR_0002_0008_75156_to_78324,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0008_75156_to_78324.wav,དམག་མི་བྩལ་བ་སྙིང་རྗེ། མིག་པག་མེད་པའི་སྙིང་རྗེ་གི་རང་ཐང་ཡོད་རེད་བ།  ,3.168
STT_GR_0002_0009_78836_to_79380,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0009_78836_to_79380.wav,ཨེ་ནས་དེ།  ,0.544
STT_GR_0002_0010_79700_to_80532,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0010_79700_to_80532.wav,ནཱ་ཁོའི་དགར་ཁྱབ་ལ།  ,0.832
STT_GR_0002_0011_80564_to_81396,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0011_80564_to_81396.wav,ཁྱབ་འདེ་རེད་དཔེར་ན།  ,0.832
STT_GR_0002_0012_81780_to_82292,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0012_81780_to_82292.wav,དེ་རེད་དེ་ནས།  ,0.512
STT_GR_0002_0013_83668_to_84468,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0013_83668_to_84468.wav,ཀུན་ལ་ཁྱབ་པ་དེ།  ,0.8
STT_GR_0002_0014_84500_to_86164,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0014_84500_to_86164.wav,སྤྲུ་བཀོས་བཟུང་བ། སངས་རྒྱས་ཀི་ཡོང་དེ།  ,1.664
STT_GR_0002_0015_86196_to_88756,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0015_86196_to_88756.wav,ད་ལྟ་རང་ངི་ཚོ་མཚེན་གི་གནས་ལོ་དོ་མང་དེ་། ཨོ།  ,2.56
STT_GR_0002_0016_88820_to_90260,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0016_88820_to_90260.wav,ཚ་མོ་འདི་རེད་བསམ་ནས།  ,1.44
STT_GR_0002_0017_90484_to_91412,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0017_90484_to_91412.wav,ཨེ་ནས་མངོན་སུམ་ཚད་མ།  ,0.928
STT_GR_0002_0018_91860_to_92372,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0018_91860_to_92372.wav,མཚན་གུ་འདེ་ལོ།  ,0.512
STT_GR_0002_0019_92596_to_93652,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0019_92596_to_93652.wav,ཆོས་ཀི་མཐོང་ངོ་ཅིག་གི་ ,1.056
STT_GR_0002_0020_93716_to_95124,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0020_93716_to_95124.wav,མཁོང་ཡ་ད་ལྟ་ཡོད་རེདཟ།  ,1.408
STT_GR_0002_0021_96276_to_97268,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0021_96276_to_97268.wav,དེ་ལ་བརྟེན་ནུས་དི་དག ,0.992
STT_GR_0002_0022_97940_to_100564,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0022_97940_to_100564.wav,ཁ་ཤས་ཀི་དོགས་པ་ཐེ་ཚོམ་དྲིན་ལུན་ཡོད་རེད།  ,2.624
STT_GR_0002_0023_101172_to_101844,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0023_101172_to_101844.wav,ད་ག་ནང་ཡེད་བསྡད་ན།  ,0.672
STT_GR_0002_0024_101940_to_105716,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0024_101940_to_105716.wav,ཨོ། ས་རྒྱས་ཀི་ས་འཐོབ་ན། སེམས་བསྐྱེད་གི་དོན་བཞེས་སྐབས་དུ་དཔེ་ཁག་པ་དུ།  ,3.776
STT_GR_0002_0025_106260_to_107860,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0025_106260_to_107860.wav,ཡུན་རིང་པོ་དེ་བསམ་བློ་མི་རྒྱང་།  ,1.6
STT_GR_0002_0026_108052_to_109300,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0026_108052_to_109300.wav,དཔེ་རིང་འདྲག་སུང་རེད།  ,1.248
STT_GR_0002_0027_110420_to_111764,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0027_110420_to_111764.wav,གང་རིན་ཕྱིར་སངས་རྒྱས་ཀི ,1.344
STT_GR_0002_0028_111860_to_112788,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0028_111860_to_112788.wav,ཚ་ཐོབ་སོང་ན།  ,0.928
STT_GR_0002_0029_113204_to_115604,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0029_113204_to_115604.wav,ཆོས་ཀའ་ནམ་མཁའ་ལྟ་བུ་དེ་ལ། སངས་རྒྱས་ཐམས་ཅད་རེད་དགོངས་པ།  ,2.4
STT_GR_0002_0030_115732_to_116404,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0030_115732_to_116404.wav,ཅིག་པག་བྱསརེད།  ,0.672
STT_GR_0002_0031_118000_to_141600,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0031_118000_to_141600.wav,རྒྱལ་བ་ཐམ་ཅད་ཡེ་ཤེས་རློང་དུ་གཅིག་ྟེ། བཅུས་གསུམ་གྱི་སངས་རྒྱས་ཐམས་ཅད་གཅིག་རེ་དེ་ནང་ཆོག་པ། བཅུ་སུམ་གྱི་སངས་རྒྱས་གཅིག་གི་སངས་རྒྱས་ཐམས་ཅད་ལ་ཁྱབ། སངས་རྒྱས་གཅིག་ལ་སངས་རྒྱས་ཐམས་ཅད་ཚང་བསྡད་པ། ག་རེ་གྱིས་ལ་ྱོག་གི་ཡོད་རེད་དེ། ཐོབ་སྟོང་ཉིད་ཀི་ཡོན་ཏིན་ནང་། དེ་ྟ་སྒྱལ་བ་ཐམས་ཅད་ཡེ་ཤེས་ལློང་དུ་གཅིག་སུང་བས། གཅིག་པ་ཅིག་ལ་འཇུག་འགྲོ་གི་ཡོད་རེད་ེ།  ,23.6
STT_GR_0002_0032_141900_to_166600,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0032_141900_to_166600.wav,དེ་ནས་ལོང་རྒོ་རྒྱ་ཚོང་རྒྱོན་དུ་སོ་སོར་ཟ་གསུང་ར། དེ་ནས། ལོང་རགོ་དང་སྤྲུལ་ཀ་དེ་རིས། འབེ་པ་དང་གཙོལ་བ་གྲྭ་བོའི་སྒོ་ནས་དེ་ན། སྙིང་རྗེ་གདང་དེ་ལས་དེ་ནས་སྤྲིན་དང་ཁྱབ་པ་ལྟ་བོའ་དེ། དེ་ནས་འབེབ་རཙོར་གྲྭ་པའི་སྒོ་ནས་དེ་ནས་འགྲོ་པ་བཏོན་བཞེད་ཀི་ཡོད་རེད་དེ། མྫུ་ྐ་གཉིས་ཁན། གང་ཡིན་དེ་ན་པ་ན་ཤེར་འདི་ལ་ྔི་མ་བརྒྱབ་ན། དེ་ནས་རྒྱ་མཚོང་གི་ཁང་པ་གང་འགྲོ་འདུག་ག་དེ། ཨེ་ནས་ཤེར་ཁོ་རང་ལ་འབེབ་རཙོར་མི་འདུག་བ ཨོ་ལེད། ཡིན་ན་ཡང་།  ,24.7
STT_GR_0002_0033_167088_to_168144,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0033_167088_to_168144.wav,དཔེ་དེ་ལྟ་བུ་དེ་ལཡན།  ,1.056
STT_GR_0002_0034_168848_to_170384,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0034_168848_to_170384.wav,འབད་པ་དང་རཙོལ་བ་མ་མགོན་པའི་ད།  ,1.536
STT_GR_0002_0035_170448_to_172304,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0035_170448_to_172304.wav,གཙོ་བི་མ་འོས་པ་ཡིབ་རྒྱད་རྣམ་པ།  ,1.856
STT_GR_0002_0036_172336_to_172976,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0036_172336_to_172976.wav,པག་ཤོག་ལྔགས་ཀྱི་ ,0.64
STT_GR_0002_0037_173616_to_174320,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0037_173616_to_174320.wav,སེམས་ཅན་རེད་བ།  ,0.704
STT_GR_0002_0038_174384_to_175568,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0038_174384_to_175568.wav,སྟོང་འཛིད་པ་ཟེ།  ,1.184
STT_GR_0002_0039_177200_to_179216,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0039_177200_to_179216.wav,དེ་ནས་ཟ་རྒྱོད་པི་སྦྱར་ཚ་ཐོབ་ན་དེ་འདྲས་གི་ཡོན་ཏན་ཡིན།  ,2.016
STT_GR_0002_0040_179632_to_180240,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0040_179632_to_180240.wav,ཡོད་རེད་ཟེ།  ,0.608
STT_GR_0002_0041_181808_to_182736,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0041_181808_to_182736.wav,དེ་ནས་དེཡི་ང་།  ,0.928
STT_GR_0002_0042_183344_to_183920,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0042_183344_to_183920.wav,ཨེ།  ,0.576
STT_GR_0002_0043_184464_to_185648,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0043_184464_to_185648.wav,ད་ལོང་སྒོ་དར།  ,1.184
STT_GR_0002_0044_185712_to_186800,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0044_185712_to_186800.wav,ྤྲུ་ཀ་ྱི་གི་སེམས་སྐྱེད་ ,1.088
STT_GR_0002_0045_188496_to_189104,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0045_188496_to_189104.wav,བྱེས་པ་ཚར།་ ,0.608
STT_GR_0002_0046_189136_to_190000,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0046_189136_to_190000.wav,ྗེ་ལྟ་བའི་ཅིག་ཡིན་ན།  ,0.864
STT_GR_0002_0047_190288_to_191312,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0047_190288_to_191312.wav,དེ་འནྲས་ད་བླ་མ་དན་ཅོ།  ,1.024
STT_GR_0002_0048_191344_to_192752,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0048_191344_to_192752.wav,སྤྲོབ་པའི་སཀོལ་བྱས་བླ་མ་མིང་ན།  ,1.408
STT_GR_0002_0049_192784_to_193872,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0049_192784_to_193872.wav,སྤྲོ་ྐུ་བྱེད་ཀི་ཡོད་རེད།  ,1.088
STT_GR_0002_0050_194736_to_196752,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0050_194736_to_196752.wav,དེ་རས་གྲོ་ཁོ་ནས་བླ་མ་གཅིག་པོ་མ་ཡིན་པ།  ,2.016
STT_GR_0002_0051_200912_to_201840,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0051_200912_to_201840.wav,བདག་པོ་གང་ཟག ,0.928
STT_GR_0002_0052_202512_to_203056,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0052_202512_to_203056.wav,དམ་བཅད་ལ།  ,0.544
STT_GR_0002_0053_204272_to_205264,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0053_204272_to_205264.wav,ལོ་ཕྱོང་རྫོགས་པོ་བཀོད།  ,0.992
STT_GR_0002_0054_205968_to_207408,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0002_0054_205968_to_207408.wav,ཚོགས་བྱུ་དབུ་ངོ་བཞིན་ ཧམས་ལ་སོགས་པ།  ,1.44
